0x796c418f3b305a92f23c9fa1eb882dd98e02769b6cd05db29d3beae0903d8337,40 mins ago,                  ETH ,         0.4095662,                 FOAM ,      1138.0607999,         0.0003599
0x9533bf5105d6c7b03f6c4777e8a1ec68aeca90eae21b3dc4c1294d9ebc133a53,42 mins ago,                  ETH ,         0.4983336,                   AE ,        62.3309079,         0.0079950
0xdb49a179d536b22af4471f0a282d80447e36133b59137dc3a339c9fe8de5e608,43 mins ago,                  ETH ,         0.3259064,                  DEC ,       114.1120892,         0.0028560
0xb76cf12ec02059301aa4fa043f32934f4d279edf3394db1ce72c49e602e627f0,44 mins ago,                 AURA ,      5013.8920000,                  ETH ,         0.9128525,         0.0001821
0xd7d6605ebf628c33635134940e287c3feb3f4f0f16c8d7ef4c3726e6c1c3f208,44 mins ago,                 AURA ,       991.0222403,                  ETH ,         0.1804552,         0.0001821
0x91c2b9c0aadf79114e13a1152ff7eb61fcb2db377577a2af592db8cbdc20d3b1,45 mins ago,                  ETH ,         0.3012310,                  ETE ,    120492.4137931,         0.0000025
0xafece240d996dea9caccf2f954e073c263f7cbd0803e7ad941090333698b658b,45 mins ago,                  ETE ,     65320.0000000,                  ETH ,         0.1633000,         0.0000025
0x6a84787c8ac9d248e906ca6904399fbc6817901521adc162ccd93cc9e24514df,47 mins ago,                THETA ,      1951.0717806,                  ETH ,         1.1294755,         0.0005789
0x013d3097ed476cc02a8cc8dac2441206614ce78e8a29101263f06d0a48aa96aa,48 mins ago,                  ETH ,         0.6396034,                  DEC ,       224.0122636,         0.0028552
0x71e45e01530f4d8cb93b48c82ddf52d519dbd6f28c99310845ba9d23c3443033,48 mins ago,                  ETH ,         0.6396034,                  DEC ,       224.0122636,         0.0028552
0xa54daa5ac4af59c6d942e89bc408d16dcf630e778d9dae1822da766b4940cfb8,51 mins ago,                  ETH ,         0.7904128,                 INCX ,     33680.2606332,         0.0000235
0xd6e9d6283cdf6525f98fa7bae4294205d301deb298ea273fe57e7905e861ecbb,51 mins ago,                  AWC ,      1588.2812500,                  ETH ,         0.4066000,         0.0002560
0xc736f91e76d5c52594fba7dd3e0d9b64f5a9da446558f695b9db18f0d5a383af,52 mins ago,                  ADH ,      6376.3711987,                  ETH ,         0.2702053,         0.0000424
0x41ddede677d2fc6cfc02ecced30fb0d4f85f84724a03566db982a63b39cdc17a,53 mins ago,                  ETH ,         0.4596297,                  PLU ,       119.2512332,         0.0038543
0x52485f847e6b3f9c3b6a367c578c83f781a33d1823bf6f6950909d6c792a1773,56 mins ago,                  ETH ,         1.5373332,                  DEC ,       534.8790000,         0.0028742
0x983477a1896e960fc351a396841007bdb1ffed1b72f76bb458d4f09c4aa4d452,56 mins ago,                  ETH ,         0.9770148,                  DEC ,       339.9310000,         0.0028742
0x7df124bed298ac13422235dee4ef8ca3b9740ea7372e0b4e2ae610de11426b3c,56 mins ago,                  ETH ,         1.0248915,                  DEC ,       356.8775000,         0.0028718
0xfc1a08b292399944371196e84a2dd5f504d48225e76bf38b0a19df7b9a063fc1,56 mins ago,                  ETH ,         0.9173706,                  DEC ,       319.4504222,         0.0028717
0x17b77d2ab0eb037ed2c5da7a72f2b2b58b6f001bb3fd0cad1054b9c10080ceb4,56 mins ago,                  ETH ,         1.4785542,                  XYO ,     34798.8250413,         0.0000425
0x5fb22bda192e6034466353a2fc7c4f0abbd52b4a6cfd7f4286763bb70469d55f,56 mins ago,                  ETH ,         0.3196612,                  DEC ,       111.9821198,         0.0028546
0xf1ad82daf6d3d5efdf0ce731ac29e611b10402fc8904ee8cbf11356b4f9c0a16,56 mins ago,                  ETH ,         0.2138429,                  XYO ,      4977.2649580,         0.0000430
0x219d7352583ed8985153ca88d4cd9c7e216b86e82596aafcd786219d9db81fbe,56 mins ago,                  ETH ,         0.3196612,                  DEC ,       111.9821198,         0.0028546
0xeb319b5bc3e5afb0ca693aa406c3859d75ca457a9f64a55b6b7318d25e1125ef,56 mins ago,                THETA ,      1951.0717806,                  ETH ,         1.1294755,         0.0005789
0x5c3ca1c080d6ad065b33d9cffd2781597e88f08c4b8562483f2e737db5041b78,59 mins ago,                 FOAM ,      2500.0000000,                  ETH ,         0.9000000,         0.0003600
0xfe67abe3c117e5f831a93159847cb6dbf57bdc87cb07d5e1cbf206f76de8a304,1 hr 1 min ago,                  ETH ,         2.6089319,                 ICNQ ,      4221.6409350,         0.0006180
0x8c33f9d0720642ff3af7d5f351fed31727593991ecbb1a65d3c9454f19c64f58,1 hr 1 min ago,                 ICNQ ,      1599.0984476,                  ETH ,         0.9950550,         0.0006223
0x068a50791335155aedb4879579db21a310c34a8435b4c49e0957bee90631f2d0,1 hr 5 mins ago,                  ETH ,         1.5574341,                 BZNT ,      5280.6488004,         0.0002949
0x320beb7ce09a3b0cb4318c1af703277a50ba09badecc5caac0b1281b44b2816f,1 hr 5 mins ago,                  ETH ,        11.5012183,                 CMCT ,    500000.0000000,         0.0000230
0x99e313cd188f723bf848cf33527ae5363df8e5ed8f46786ecad4ed86eb93deac,1 hr 6 mins ago,                  XYO ,   1756628.9665854,                  ETH ,        72.0217876,         0.0000410
0xef118105791d4fdfab696b80bf6008fa33be92de5f2bdbf2253aed063decc2ca,1 hr 6 mins ago,                  XYO ,     30204.9861734,                  ETH ,         1.2406396,         0.0000411
0x96b4254b9b9b3d0aeacbea23a255a6a88ea84737cfaf5fe1875d93e3115a958b,1 hr 6 mins ago,                 NPXS ,    200327.5900000,                  ETH ,         1.1419923,         0.0000057
0x68ef21116fb2c0e492af70438c0b67339f0d06574b012de81ec70dbeb42ed2b2,1 hr 6 mins ago,                  XYO ,    101220.3459655,                  ETH ,         4.2587655,         0.0000421
